playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeamOriginal,statusCode,quotationCurrent,fvm,fantasyRoster,fbrefId,fbrefName,fbrefUrl,fbrefSearchQuery,fbrefSearchUrl,reviewBatch,reviewPriority,reviewScore,matchStatus,confidence,sourceVerifiedAt,mappedInRelease,notes
fc-2841,2841,Vlahovic,A,Pc,Juventus,IN_LISTONE,16,100,Olympic Salerno  FC,79443529,Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,Vlahovic Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Vlahovic%20Juventus%20fbref,batch-02,57,48,confirmed,0.98,2026-06-05,V374,"Nome listone senza accenti: associato a Dušan Vlahović, Juventus. Batch-02 verificato manualmente su FBref."
fc-5687,5687,Vlasic,C,T,Torino,IN_LISTONE,17,100,FC DueFratelli2005,aa8e289e,Nikola Vlašić,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic,Vlasic Torino fbref,https://fbref.com/en/search/search.fcgi?search=Vlasic%20Torino%20fbref,batch-01,16,59,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2766,2766,Zaniolo,C,T/A,Udinese,IN_LISTONE,19,100,Olympic Salerno  FC,9907b1c8,Nicolò Zaniolo,https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo,Zaniolo Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Zaniolo%20Udinese%20fbref,batch-01,21,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2423,2423,Pulisic,C,T/A,Milan,IN_LISTONE,24,100,Prestige Worldwide,1bf33a9a,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic,Pulisic Milan fbref,https://fbref.com/en/search/search.fcgi?search=Pulisic%20Milan%20fbref,batch-01,26,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2061,2061,Simeone,A,Pc,Torino,IN_LISTONE,22,99,River Plaid,343c0d52,Giovanni Simeone,https://fbref.com/en/players/343c0d52/Giovanni-Simeone,Simeone Torino fbref,https://fbref.com/en/search/search.fcgi?search=Simeone%20Torino%20fbref,batch-01,20,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6435,6435,Krstovic,A,Pc,Atalanta,IN_LISTONE,24,95,Ac Milan,473803c9,Nikola Krstović,https://fbref.com/en/players/473803c9/Nikola-Krstovic,Krstovic Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=Krstovic%20Atalanta%20fbref,batch-01,18,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2137,2137,Scamacca,A,Pc,Atalanta,IN_LISTONE,23,95,FC DueFratelli2005,8790f988,Gianluca Scamacca,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,Scamacca Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=Scamacca%20Atalanta%20fbref,batch-01,37,53,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-7126,7126,Baturina,C,T,Como,IN_LISTONE,24,95,Olympic Salerno  FC,d1eda5f0,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,Baturina Como fbref,https://fbref.com/en/search/search.fcgi?search=Baturina%20Como%20fbref,batch-01,30,55,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6966,6966,Butez,P,Por,Como,IN_LISTONE,16,95,Beetlejuice,7f40333d,Jean Butez,https://fbref.com/en/players/7f40333d/Jean-Butez,Butez Como fbref,https://fbref.com/en/search/search.fcgi?search=Butez%20Como%20fbref,batch-01,23,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2517,2517,De Bruyne,C,T,Napoli,IN_LISTONE,21,92,As Paperopoli,e46012d4,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,De Bruyne Napoli fbref,https://fbref.com/en/search/search.fcgi?search=De%20Bruyne%20Napoli%20fbref,batch-01,45,51,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-531,531,Berardi,A,A,Sassuolo,IN_LISTONE,25,90,Prestige Worldwide,53a0e358,Domenico Berardi,https://fbref.com/en/players/53a0e358/Domenico-Berardi,Berardi Sassuolo fbref,https://fbref.com/en/search/search.fcgi?search=Berardi%20Sassuolo%20fbref,batch-01,32,54,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2606,2606,Modric,C,C,Milan,IN_LISTONE,18,90,River Plaid,6025fab1,Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric,Modric Milan fbref,https://fbref.com/en/search/search.fcgi?search=Modric%20Milan%20fbref,batch-01,29,56,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4312,4312,Maignan,P,Por,Milan,IN_LISTONE,16,88,real mappine,fcb38f57,Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,Maignan Milan fbref,https://fbref.com/en/search/search.fcgi?search=Maignan%20Milan%20fbref,batch-01,28,56,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-5734,5734,Soulè,A,A,Roma,IN_LISTONE,20,85,Prestige Worldwide,c13ddd3e,Matìas Soulé,https://fbref.com/en/players/c13ddd3e/Matias-Soule,Soulè Roma fbref,https://fbref.com/en/search/search.fcgi?search=Soul%C3%A8%20Roma%20fbref,batch-01,27,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6908,6908,Atta,C,C,Udinese,IN_LISTONE,20,85,real mappine,d3ddf88b,Arthur Atta,https://fbref.com/en/players/d3ddf88b/Arthur-Atta,Atta Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Atta%20Udinese%20fbref,batch-01,22,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6060,6060,Laurientè,A,A,Sassuolo,IN_LISTONE,21,82,Real Pisistrius,2d22cea7,Armand Lauriente,https://fbref.com/en/players/2d22cea7/Armand-Lauriente,Laurientè Sassuolo fbref,https://fbref.com/en/search/search.fcgi?search=Laurient%C3%A8%20Sassuolo%20fbref,batch-01,14,59,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4510,4510,Leao,A,A,Milan,IN_LISTONE,20,80,Beetlejuice,20730eae,Rafael Leão,https://fbref.com/en/players/20730eae/Rafael-Leao,Leao Milan fbref,https://fbref.com/en/search/search.fcgi?search=Leao%20Milan%20fbref,batch-01,33,54,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-5559,5559,Da Cunha,C,C/W/T,Como,IN_LISTONE,20,80,Afc Severgas Baronissi,007faf7a,Lucas Da Cunha,https://fbref.com/en/players/007faf7a/Lucas-Da-Cunha,Da Cunha Como fbref,https://fbref.com/en/search/search.fcgi?search=Da%20Cunha%20Como%20fbref,batch-01,17,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4431,4431,Carnesecchi,P,Por,Atalanta,IN_LISTONE,18,80,Olympic Salerno  FC,8ec56e62,Marco Carnesecchi,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,Carnesecchi Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=Carnesecchi%20Atalanta%20fbref,batch-01,24,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6832,6832,Palestra,D,E,Cagliari,IN_LISTONE,16,75,Olympic Salerno  FC,1f1828dd,Marco Palestra,https://fbref.com/en/players/1f1828dd/Marco-Palestra,Palestra Cagliari fbref,https://fbref.com/en/search/search.fcgi?search=Palestra%20Cagliari%20fbref,batch-01,34,54,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2788,2788,Bremer,D,Dc,Juventus,IN_LISTONE,20,74,Olympic Salerno  FC,5fd5ed86,Gleison Bremer,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer,Bremer Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Bremer%20Juventus%20fbref,batch-01,40,52,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4463,4463,Esposito Se.,A,A,Cagliari,IN_LISTONE,21,70,Prestige Worldwide,7ff93107,Sebastiano Esposito,https://fbref.com/en/players/7ff93107/Sebastiano-Esposito,Esposito Se Cagliari fbref,https://fbref.com/en/search/search.fcgi?search=Esposito%20Se%20Cagliari%20fbref,batch-01,25,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4976,4976,Kalulu,D,Dd/Dc,Juventus,IN_LISTONE,14,68,real mappine,85f7d1be,Pierre Kalulu,https://fbref.com/en/players/85f7d1be/Pierre-Kalulu,Kalulu Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Kalulu%20Juventus%20fbref,batch-01,41,52,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-7023,7023,Pellegrino M.,A,Pc,Parma,IN_LISTONE,18,67,Olympic Salerno  FC,8c9e96c5,Mateo Pellegrino,https://fbref.com/en/players/8c9e96c5/Mateo-Pellegrino,Pellegrino M Parma fbref,https://fbref.com/en/search/search.fcgi?search=Pellegrino%20M%20Parma%20fbref,batch-01,31,55,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6717,6717,Konè I.,C,M/C,Sassuolo,IN_LISTONE,17,67,Beetlejuice,e0220b70,Ismaël Koné,https://fbref.com/en/players/e0220b70/Ismael-Kone,Konè I Sassuolo fbref,https://fbref.com/en/search/search.fcgi?search=Kon%C3%A8%20I%20Sassuolo%20fbref,batch-01,36,53,confirmed,0.98,2026-06-05,V373,"Omonimia controllata: scelto Ismaël Koné collegato a Sassuolo, non omonimo NB I."
fc-6884,6884,Conceicao,C,W/A,Juventus,IN_LISTONE,18,65,Afc Severgas Baronissi,5ef3d210,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,Conceicao Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Conceicao%20Juventus%20fbref,batch-01,44,51,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4159,4159,Akanji,D,Dc,Inter,IN_LISTONE,13,64,Prestige Worldwide,89ac64a6,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,Akanji Inter fbref,https://fbref.com/en/search/search.fcgi?search=Akanji%20Inter%20fbref,batch-02,58,47,confirmed,0.98,2026-06-05,V374,Nome listone univoco; profilo FBref collegato a Inter/Manchester City. Batch-02 verificato manualmente su FBref.
fc-1933,1933,Mandragora,C,M/C,Fiorentina,IN_LISTONE,17,60,real mappine,c7259b83,Rolando Mandragora,https://fbref.com/en/players/c7259b83/Rolando-Mandragora,Mandragora Fiorentina fbref,https://fbref.com/en/search/search.fcgi?search=Mandragora%20Fiorentina%20fbref,batch-01,42,52,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-152,152,Zielinski,C,C/T,Inter,IN_LISTONE,20,60,Real Pisistrius,a5296e55,Piotr Zieliński,https://fbref.com/en/players/a5296e55/Piotr-Zielinski,Zielinski Inter fbref,https://fbref.com/en/search/search.fcgi?search=Zielinski%20Inter%20fbref,batch-01,38,53,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-5022,5022,Pavlovic,D,Dc,Milan,IN_LISTONE,17,60,Olympic Salerno  FC,25146df0,Strahinja Pavlović,https://fbref.com/en/players/25146df0/Strahinja-Pavlovic,Pavlovic Milan fbref,https://fbref.com/en/search/search.fcgi?search=Pavlovic%20Milan%20fbref,batch-01,43,52,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2428,2428,Sommer,P,Por,Inter,IN_LISTONE,13,60,Afc Severgas Baronissi,420c18a1,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,Sommer Inter fbref,https://fbref.com/en/search/search.fcgi?search=Sommer%20Inter%20fbref,batch-02,56,48,confirmed,0.98,2026-06-05,V374,Portiere Inter: profilo FBref Yann Sommer. Batch-02 verificato manualmente su FBref.
fc-5995,5995,De Ketelaere,A,A,Atalanta,IN_LISTONE,16,59,FC DueFratelli2005,2ef7c612,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,De Ketelaere Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=De%20Ketelaere%20Atalanta%20fbref,batch-02,51,49,confirmed,0.98,2026-06-05,V374,"Nome listone abbreviato: associato a Charles De Ketelaere, Atalanta. Batch-02 verificato manualmente su FBref."
fc-1870,1870,Barella,C,C,Inter,IN_LISTONE,18,58,Prestige Worldwide,6928979a,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,Barella Inter fbref,https://fbref.com/en/search/search.fcgi?search=Barella%20Inter%20fbref,batch-01,39,52,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
