reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"117","batch-03","fc-5526","Scalvini","D","Dc","ATA","Atalanta","5526","15","22","Olympic Salerno  FC","Scalvini Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Scalvini%20Atalanta%20fbref","","","","needs-review","",""
"118","batch-03","fc-7314","Taylor K.","C","C/T","LAZ","Lazio","7314","14","52","Olympic Salerno  FC","Taylor K Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Taylor%20K%20Lazio%20fbref","","","","needs-review","",""
"119","batch-03","fc-4870","Adopo","C","M/C","CAG","Cagliari","4870","8","13","Olympic Salerno  FC","Adopo Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Adopo%20Cagliari%20fbref","","","","needs-review","",""
"120","batch-03","fc-184","Bernardeschi","C","W/A","BOL","Bologna","184","13","33","Prestige Worldwide","Bernardeschi Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Bernardeschi%20Bologna%20fbref","","","","needs-review","",""
"121","batch-03","fc-5520","Cambiaso","D","E","JUV","Juventus","5520","9","17","Prestige Worldwide","Cambiaso Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Cambiaso%20Juventus%20fbref","","","","needs-review","",""
"122","batch-03","fc-5036","Caqueret","C","C/T","COM","Como","5036","13","18","River Plaid","Caqueret Como fbref","https://fbref.com/en/search/search.fcgi?search=Caqueret%20Como%20fbref","","","","needs-review","",""
"123","batch-03","fc-6642","Coco","D","Dc","TOR","Torino","6642","9","12","Beetlejuice","Coco Torino fbref","https://fbref.com/en/search/search.fcgi?search=Coco%20Torino%20fbref","","","","needs-review","",""
"124","batch-03","fc-22","De Roon","C","M/C","ATA","Atalanta","22","9","22","Real Pisistrius","De Roon Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=De%20Roon%20Atalanta%20fbref","","","","needs-review","",""
"125","batch-03","fc-5513","Dumfries","D","E","INT","Inter","5513","12","56","Prestige Worldwide","Dumfries Inter fbref","https://fbref.com/en/search/search.fcgi?search=Dumfries%20Inter%20fbref","","","","needs-review","",""
"126","batch-03","fc-4686","Fofana Y.","C","M/C","MIL","Milan","4686","10","18","Real Pisistrius","Fofana Y Milan fbref","https://fbref.com/en/search/search.fcgi?search=Fofana%20Y%20Milan%20fbref","","","","needs-review","",""
"127","batch-03","fc-5791","Frendrup","C","M/C","GEN","Genoa","5791","9","15","Olympic Salerno  FC","Frendrup Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Frendrup%20Genoa%20fbref","","","","needs-review","",""
"128","batch-03","fc-4287","Lobotka","C","M/C","NAP","Napoli","4287","10","20","River Plaid","Lobotka Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Lobotka%20Napoli%20fbref","","","","needs-review","",""
"129","batch-03","fc-4734","Miranda J.","D","Ds/E","BOL","Bologna","4734","10","25","As Paperopoli","Miranda J Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Miranda%20J%20Bologna%20fbref","","","","needs-review","",""
"130","batch-03","fc-6556","Noslin","A","A","LAZ","Lazio","6556","14","24","As Paperopoli","Noslin Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Noslin%20Lazio%20fbref","","","","needs-review","",""
"131","batch-03","fc-6869","Ramon","D","Dc","COM","Como","6869","10","23","River Plaid","Ramon Como fbref","https://fbref.com/en/search/search.fcgi?search=Ramon%20Como%20fbref","","","","needs-review","",""
"132","batch-03","fc-7133","Vandeputte","C","W/T","CRE","Cremonese","7133","11","15","Real Pisistrius","Vandeputte Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Vandeputte%20Cremonese%20fbref","","","","needs-review","",""
"133","batch-03","fc-632","Zaccagni","C","W/A","LAZ","Lazio","632","13","25","Ac Milan","Zaccagni Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Zaccagni%20Lazio%20fbref","","","","needs-review","",""
"134","batch-03","fc-6496","Bartesaghi","D","Ds/E","MIL","Milan","6496","10","15","Real Pisistrius","Bartesaghi Milan fbref","https://fbref.com/en/search/search.fcgi?search=Bartesaghi%20Milan%20fbref","","","","needs-review","",""
"135","batch-03","fc-5506","Ekuban","A","A","GEN","Genoa","5506","12","12","real mappine","Ekuban Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Ekuban%20Genoa%20fbref","","","","needs-review","",""
"136","batch-03","fc-6672","Idzes","D","Dc","SAS","Sassuolo","6672","8","12","Afc Severgas Baronissi","Idzes Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Idzes%20Sassuolo%20fbref","","","","needs-review","",""
"137","batch-03","fc-530","Pellegrini Lo.","C","C/T","ROM","Roma","530","13","24","FC DueFratelli2005","Pellegrini Lo Roma fbref","https://fbref.com/en/search/search.fcgi?search=Pellegrini%20Lo%20Roma%20fbref","","","","needs-review","",""
"138","batch-03","fc-4409","Rrahmani","D","Dc","NAP","Napoli","4409","11","45","Olympic Salerno  FC","Rrahmani Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Rrahmani%20Napoli%20fbref","","","","needs-review","",""
"139","batch-03","fc-7070","Sucic P.","C","C","INT","Inter","7070","11","21","FC DueFratelli2005","Sucic P Inter fbref","https://fbref.com/en/search/search.fcgi?search=Sucic%20P%20Inter%20fbref","","","","needs-review","",""
"140","batch-03","fc-5500","Cancellieri","A","W/A","LAZ","Lazio","5500","11","12","Real Pisistrius","Cancellieri Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Cancellieri%20Lazio%20fbref","","","","needs-review","",""
"141","batch-03","fc-333","Cataldi","C","M/C","LAZ","Lazio","333","11","17","River Plaid","Cataldi Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Cataldi%20Lazio%20fbref","","","","needs-review","",""
"142","batch-03","fc-2816","Di Lorenzo","D","Dd/E","NAP","Napoli","2816","10","28","Afc Severgas Baronissi","Di Lorenzo Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Di%20Lorenzo%20Napoli%20fbref","","","","needs-review","",""
"143","batch-03","fc-6020","Ellertsson","C","C/W","GEN","Genoa","6020","8","10","As Paperopoli","Ellertsson Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Ellertsson%20Genoa%20fbref","","","","needs-review","",""
"144","batch-03","fc-6485","Kristensen T.","D","Dd/Dc","UDI","Udinese","6485","11","14","Olympic Salerno  FC","Kristensen T Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Kristensen%20T%20Udinese%20fbref","","","","needs-review","",""
"145","batch-03","fc-393","Luperto","D","Dc","CRE","Cremonese","393","8","12","Beetlejuice","Luperto Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Luperto%20Cremonese%20fbref","","","","needs-review","",""
"146","batch-03","fc-2188","Marusic","D","Dd/Ds/E","LAZ","Lazio","2188","8","12","Real Pisistrius","Marusic Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Marusic%20Lazio%20fbref","","","","needs-review","",""
"147","batch-03","fc-4236","Muric","P","Por","SAS","Sassuolo","4236","10","6","As Paperopoli","Muric Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Muric%20Sassuolo%20fbref","","","","needs-review","",""
"148","batch-03","fc-6294","Ndour","C","M/C","FIO","Fiorentina","6294","9","22","Prestige Worldwide","Ndour Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Ndour%20Fiorentina%20fbref","","","","needs-review","",""
"149","batch-03","fc-6190","Pisilli","C","C","ROM","Roma","6190","14","17","As Paperopoli","Pisilli Roma fbref","https://fbref.com/en/search/search.fcgi?search=Pisilli%20Roma%20fbref","","","","needs-review","",""
"150","batch-03","fc-2814","Provedel","P","Por","LAZ","Lazio","2814","11","15","Real Pisistrius","Provedel Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Provedel%20Lazio%20fbref","","","","needs-review","",""
"151","batch-04","fc-4371","Raspadori","A","A","ATA","Atalanta","4371","15","37","Real Pisistrius","Raspadori Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Raspadori%20Atalanta%20fbref","","","","needs-review","",""
"152","batch-04","fc-5453","Ricci S.","C","M/C","MIL","Milan","5453","11","13","Beetlejuice","Ricci S Milan fbref","https://fbref.com/en/search/search.fcgi?search=Ricci%20S%20Milan%20fbref","","","","needs-review","",""
"153","batch-04","fc-4751","Tomori","D","Dc","MIL","Milan","4751","8","21","Prestige Worldwide","Tomori Milan fbref","https://fbref.com/en/search/search.fcgi?search=Tomori%20Milan%20fbref","","","","needs-review","",""
"154","batch-04","fc-4220","Zambo Anguissa","C","M/C","NAP","Napoli","4220","15","20","Beetlejuice","Zambo Anguissa Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Zambo%20Anguissa%20Napoli%20fbref","","","","needs-review","",""
"155","batch-04","fc-5784","Aebischer","C","C","PIS","Pisa","5784","6","12","Ac Milan","Aebischer Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Aebischer%20Pisa%20fbref","","","","needs-review","",""
"156","batch-04","fc-5835","Baschirotto","D","Dc","CRE","Cremonese","5835","9","13","Beetlejuice","Baschirotto Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Baschirotto%20Cremonese%20fbref","","","","needs-review","",""
"157","batch-04","fc-5674","Basic","C","C","LAZ","Lazio","5674","11","25","Beetlejuice","Basic Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Basic%20Lazio%20fbref","","","","needs-review","",""
"158","batch-04","fc-6243","Borrelli","A","Pc","CAG","Cagliari","6243","11","15","Ac Milan","Borrelli Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Borrelli%20Cagliari%20fbref","","","","needs-review","",""
"159","batch-04","fc-2724","Buongiorno","D","Dc","NAP","Napoli","2724","8","13","Real Pisistrius","Buongiorno Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Buongiorno%20Napoli%20fbref","","","","needs-review","",""
"160","batch-04","fc-5877","Carlos Augusto","D","B/Ds/E","INT","Inter","5877","10","15","Beetlejuice","Carlos Augusto Inter fbref","https://fbref.com/en/search/search.fcgi?search=Carlos%20Augusto%20Inter%20fbref","","","","needs-review","",""
"161","batch-04","fc-6663","Circati","D","Dc","PAR","Parma","6663","8","13","Prestige Worldwide","Circati Parma fbref","https://fbref.com/en/search/search.fcgi?search=Circati%20Parma%20fbref","","","","needs-review","",""
"162","batch-04","fc-787","Djimsiti","D","Dc","ATA","Atalanta","787","7","13","As Paperopoli","Djimsiti Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Djimsiti%20Atalanta%20fbref","","","","needs-review","",""
"163","batch-04","fc-2160","Gosens","D","E","FIO","Fiorentina","2160","11","19","Beetlejuice","Gosens Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Gosens%20Fiorentina%20fbref","","","","needs-review","",""
"164","batch-04","fc-2593","Martin","D","Ds/E","GEN","Genoa","2593","10","11","Real Pisistrius","Martin Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Martin%20Genoa%20fbref","","","","needs-review","",""
"165","batch-04","fc-7155","Muharemovic","D","Dc","SAS","Sassuolo","7155","8","18","real mappine","Muharemovic Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Muharemovic%20Sassuolo%20fbref","","","","needs-review","",""
"166","batch-04","fc-5336","Nzola","A","Pc","SAS","Sassuolo","5336","10","15","Beetlejuice","Nzola Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Nzola%20Sassuolo%20fbref","","","","needs-review","",""
"167","batch-04","fc-2765","Odgaard","C","T/A","BOL","Bologna","2765","13","14","Beetlejuice","Odgaard Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Odgaard%20Bologna%20fbref","","","","needs-review","",""
"168","batch-04","fc-460","Romagnoli","D","Dc","LAZ","Lazio","460","8","16","Ac Milan","Romagnoli Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Romagnoli%20Lazio%20fbref","","","","needs-review","",""
"169","batch-04","fc-7351","Santos A.","C","W/A","NAP","Napoli","7351","12","54","FC DueFratelli2005","Santos A Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Santos%20A%20Napoli%20fbref","","","","needs-review","",""
"170","batch-04","fc-4486","Strefezza","C","W/A","PAR","Parma","4486","13","50","Afc Severgas Baronissi","Strefezza Parma fbref","https://fbref.com/en/search/search.fcgi?search=Strefezza%20Parma%20fbref","","","","needs-review","",""
"171","batch-04","fc-5812","Terracciano F.","D","Dd/Ds/E","CRE","Cremonese","5812","7","11","real mappine","Terracciano F Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Terracciano%20F%20Cremonese%20fbref","","","","needs-review","",""
"172","batch-04","fc-4994","Vojvoda","D","Dd/E","COM","Como","4994","10","12","River Plaid","Vojvoda Como fbref","https://fbref.com/en/search/search.fcgi?search=Vojvoda%20Como%20fbref","","","","needs-review","",""
"173","batch-04","fc-5735","Volpato","C","W/T","SAS","Sassuolo","5735","13","17","FC DueFratelli2005","Volpato Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Volpato%20Sassuolo%20fbref","","","","needs-review","",""
"174","batch-04","fc-7220","Belghali","D","Dd/E","VER","Verona","7220","10","12","Ac Milan","Belghali Verona fbref","https://fbref.com/en/search/search.fcgi?search=Belghali%20Verona%20fbref","","","","needs-review","",""
"175","batch-04","fc-4436","Cambiaghi","A","A","BOL","Bologna","4436","12","10","Prestige Worldwide","Cambiaghi Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Cambiaghi%20Bologna%20fbref","","","","needs-review","",""
"176","batch-04","fc-7139","Canestrelli","D","Dc","PIS","Pisa","7139","5","11","real mappine","Canestrelli Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Canestrelli%20Pisa%20fbref","","","","needs-review","",""
"177","batch-04","fc-2273","Caracciolo A.","D","Dc","PIS","Pisa","2273","6","10","Beetlejuice","Caracciolo A Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Caracciolo%20A%20Pisa%20fbref","","","","needs-review","",""
"178","batch-04","fc-4263","Kabasele","D","Dc","UDI","Udinese","4263","10","9","Beetlejuice","Kabasele Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Kabasele%20Udinese%20fbref","","","","needs-review","",""
"179","batch-04","fc-6660","Marcandalli","D","Dc","GEN","Genoa","6660","7","12","Olympic Salerno  FC","Marcandalli Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Marcandalli%20Genoa%20fbref","","","","needs-review","",""
"180","batch-04","fc-5320","Paleari","P","Por","TOR","Torino","5320","9","9","Real Pisistrius","Paleari Torino fbref","https://fbref.com/en/search/search.fcgi?search=Paleari%20Torino%20fbref","","","","needs-review","",""
"181","batch-04","fc-4359","Piccoli","A","Pc","FIO","Fiorentina","4359","9","15","Beetlejuice","Piccoli Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Piccoli%20Fiorentina%20fbref","","","","needs-review","",""
"182","batch-04","fc-5603","Pongracic","D","Dc","FIO","Fiorentina","5603","5","12","Ac Milan","Pongracic Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Pongracic%20Fiorentina%20fbref","","","","needs-review","",""
"183","batch-04","fc-6986","Rensch","D","B/Dd/E","ROM","Roma","6986","13","17","Afc Severgas Baronissi","Rensch Roma fbref","https://fbref.com/en/search/search.fcgi?search=Rensch%20Roma%20fbref","","","","needs-review","",""
"184","batch-04","fc-7252","Stulic","A","Pc","LEC","Lecce","7252","8","12","real mappine","Stulic Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Stulic%20Lecce%20fbref","","","","needs-review","",""
"185","batch-04","fc-4404","Thorsby","C","C/T","CRE","Cremonese","4404","12","12","Beetlejuice","Thorsby Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Thorsby%20Cremonese%20fbref","","","","needs-review","",""
"186","batch-04","fc-6867","Valle","D","Ds/E","COM","Como","6867","10","17","Afc Severgas Baronissi","Valle Como fbref","https://fbref.com/en/search/search.fcgi?search=Valle%20Como%20fbref","","","","needs-review","",""
"187","batch-04","fc-6967","Diao","A","W/A","COM","Como","6967","12","30","Olympic Salerno  FC","Diao Como fbref","https://fbref.com/en/search/search.fcgi?search=Diao%20Como%20fbref","","","","needs-review","",""
"188","batch-04","fc-6822","Ekhator","A","A","GEN","Genoa","6822","10","8","real mappine","Ekhator Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Ekhator%20Genoa%20fbref","","","","needs-review","",""
"189","batch-04","fc-788","Freuler","C","M/C","BOL","Bologna","788","8","14","As Paperopoli","Freuler Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Freuler%20Bologna%20fbref","","","","needs-review","",""
"190","batch-04","fc-4210","Mina","D","Dc","CAG","Cagliari","4210","9","12","FC DueFratelli2005","Mina Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Mina%20Cagliari%20fbref","","","","needs-review","",""
"191","batch-04","fc-4433","Zortea","D","E","BOL","Bologna","4433","8","12","Afc Severgas Baronissi","Zortea Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Zortea%20Bologna%20fbref","","","","needs-review","",""
"192","batch-04","fc-2832","Boga","A","W/A","JUV","Juventus","2832","11","37","Afc Severgas Baronissi","Boga Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Boga%20Juventus%20fbref","","","","needs-review","",""
"193","batch-04","fc-4479","Elmas","C","W/T","NAP","Napoli","4479","7","13","FC DueFratelli2005","Elmas Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Elmas%20Napoli%20fbref","","","","needs-review","",""
"194","batch-04","fc-5427","Gutierrez","D","Ds/E","NAP","Napoli","5427","10","12","Ac Milan","Gutierrez Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Gutierrez%20Napoli%20fbref","","","","needs-review","",""
"195","batch-04","fc-4199","Loftus-Cheek","C","C/T","MIL","Milan","4199","10","12","Real Pisistrius","Loftus-Cheek Milan fbref","https://fbref.com/en/search/search.fcgi?search=Loftus-Cheek%20Milan%20fbref","","","","needs-review","",""
"196","batch-04","fc-6042","Lucumì","D","Dc","BOL","Bologna","6042","7","12","As Paperopoli","Lucumì Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Lucum%C3%AC%20Bologna%20fbref","","","","needs-review","",""
"197","batch-04","fc-6814","Norton-Cuffy","D","Dd/E","GEN","Genoa","6814","7","14","FC DueFratelli2005","Norton-Cuffy Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Norton-Cuffy%20Genoa%20fbref","","","","needs-review","",""
"198","batch-04","fc-4378","Ranieri L.","D","Ds/Dc","FIO","Fiorentina","4378","6","10","River Plaid","Ranieri L Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Ranieri%20L%20Fiorentina%20fbref","","","","needs-review","",""
"199","batch-04","fc-7219","Bernasconi","D","E","ATA","Atalanta","7219","9","12","As Paperopoli","Bernasconi Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Bernasconi%20Atalanta%20fbref","","","","needs-review","",""
"200","batch-04","fc-6202","Beukema","D","Dc","NAP","Napoli","6202","10","10","Beetlejuice","Beukema Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Beukema%20Napoli%20fbref","","","","needs-review","",""
"201","batch-05","fc-2678","Fullkrug","A","Pc","MIL","Milan","2678","10","12","Afc Severgas Baronissi","Fullkrug Milan fbref","https://fbref.com/en/search/search.fcgi?search=Fullkrug%20Milan%20fbref","","","","needs-review","",""
"202","batch-05","fc-4401","Gabbia","D","Dc","MIL","Milan","4401","5","14","Olympic Salerno  FC","Gabbia Milan fbref","https://fbref.com/en/search/search.fcgi?search=Gabbia%20Milan%20fbref","","","","needs-review","",""
"203","batch-05","fc-7008","Gimenez","A","Pc","MIL","Milan","7008","12","12","Ac Milan","Gimenez Milan fbref","https://fbref.com/en/search/search.fcgi?search=Gimenez%20Milan%20fbref","","","","needs-review","",""
"204","batch-05","fc-5651","Harrison","C","W","FIO","Fiorentina","5651","11","23","Ac Milan","Harrison Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Harrison%20Fiorentina%20fbref","","","","needs-review","",""
"205","batch-05","fc-7199","Kilicsoy","A","A","CAG","Cagliari","7199","13","7","FC DueFratelli2005","Kilicsoy Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Kilicsoy%20Cagliari%20fbref","","","","needs-review","",""
"206","batch-05","fc-4896","Maldini","C","T/A","LAZ","Lazio","4896","10","20","As Paperopoli","Maldini Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Maldini%20Lazio%20fbref","","","","needs-review","",""
"207","batch-05","fc-4665","Maripan","D","Dc","TOR","Torino","4665","8","8","River Plaid","Maripan Torino fbref","https://fbref.com/en/search/search.fcgi?search=Maripan%20Torino%20fbref","","","","needs-review","",""
"208","batch-05","fc-4349","Nicolussi Caviglia","C","M/C","PAR","Parma","4349","8","15","River Plaid","Nicolussi Caviglia Parma fbref","https://fbref.com/en/search/search.fcgi?search=Nicolussi%20Caviglia%20Parma%20fbref","","","","needs-review","",""
"209","batch-05","fc-133","Skorupski","P","Por","BOL","Bologna","133","11","14","Prestige Worldwide","Skorupski Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Skorupski%20Bologna%20fbref","","","","needs-review","",""
"210","batch-05","fc-7146","Tourè I.","C","E/M","PIS","Pisa","7146","5","12","real mappine","Tourè I Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Tour%C3%A8%20I%20Pisa%20fbref","","","","needs-review","",""
"211","batch-05","fc-608","Zapata D.","A","Pc","TOR","Torino","608","8","15","River Plaid","Zapata D Torino fbref","https://fbref.com/en/search/search.fcgi?search=Zapata%20D%20Torino%20fbref","","","","needs-review","",""
"212","batch-05","fc-7211","Athekame","D","Dd/E","MIL","Milan","7211","11","9","Real Pisistrius","Athekame Milan fbref","https://fbref.com/en/search/search.fcgi?search=Athekame%20Milan%20fbref","","","","needs-review","",""
"213","batch-05","fc-4947","Brescianini","C","C/T","FIO","Fiorentina","4947","10","15","real mappine","Brescianini Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Brescianini%20Fiorentina%20fbref","","","","needs-review","",""
"214","batch-05","fc-6815","Fadera","C","W","SAS","Sassuolo","6815","8","10","Real Pisistrius","Fadera Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Fadera%20Sassuolo%20fbref","","","","needs-review","",""
"215","batch-05","fc-4502","Gallo","D","Ds/E","LEC","Lecce","4502","10","15","","Gallo Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Gallo%20Lecce%20fbref","","","","needs-review","",""
"216","batch-05","fc-6046","Hien","D","Dc","ATA","Atalanta","6046","6","10","Olympic Salerno  FC","Hien Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Hien%20Atalanta%20fbref","","","","needs-review","",""
"217","batch-05","fc-5555","Kamara H.","D","Ds/E","UDI","Udinese","5555","6","15","Real Pisistrius","Kamara H Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Kamara%20H%20Udinese%20fbref","","","","needs-review","",""
"218","batch-05","fc-5119","Samardzic","C","T","ATA","Atalanta","5119","9","11","Olympic Salerno  FC","Samardzic Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Samardzic%20Atalanta%20fbref","","","","needs-review","",""
"219","batch-05","fc-5918","Sulemana K.","A","A","ATA","Atalanta","5918","9","7","Real Pisistrius","Sulemana K Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Sulemana%20K%20Atalanta%20fbref","","","","needs-review","",""
"220","batch-05","fc-5823","Baldanzi","C","T/A","GEN","Genoa","5823","9","15","Ac Milan","Baldanzi Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Baldanzi%20Genoa%20fbref","","","","needs-review","",""
"221","batch-05","fc-5672","Dia","A","Pc","LAZ","Lazio","5672","6","9","Afc Severgas Baronissi","Dia Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Dia%20Lazio%20fbref","","","","needs-review","",""
"222","batch-05","fc-6631","Ghilardi","D","Dc","ROM","Roma","6631","8","11","Prestige Worldwide","Ghilardi Roma fbref","https://fbref.com/en/search/search.fcgi?search=Ghilardi%20Roma%20fbref","","","","needs-review","",""
"223","batch-05","fc-5685","Koopmeiners","C","C/T","JUV","Juventus","5685","4","11","Olympic Salerno  FC","Koopmeiners Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Koopmeiners%20Juventus%20fbref","","","","needs-review","",""
"224","batch-05","fc-4385","Lazaro","D","Dd/E","TOR","Torino","4385","4","11","FC DueFratelli2005","Lazaro Torino fbref","https://fbref.com/en/search/search.fcgi?search=Lazaro%20Torino%20fbref","","","","needs-review","",""
"225","batch-05","fc-6831","Neres","C","W/A","NAP","Napoli","6831","10","15","Beetlejuice","Neres Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Neres%20Napoli%20fbref","","","","needs-review","",""
"226","batch-05","fc-2839","Sottil","C","W/A","LEC","Lecce","2839","8","9","FC DueFratelli2005","Sottil Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Sottil%20Lecce%20fbref","","","","needs-review","",""
"227","batch-05","fc-5318","Tramoni M.","C","W/T","PIS","Pisa","5318","6","10","Real Pisistrius","Tramoni M Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Tramoni%20M%20Pisa%20fbref","","","","needs-review","",""
"228","batch-05","fc-7143","Angori","D","Ds/E","PIS","Pisa","7143","9","13","","Angori Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Angori%20Pisa%20fbref","","","","needs-review","",""
"229","batch-05","fc-7332","Bijlow","P","Por","GEN","Genoa","7332","10","10","River Plaid","Bijlow Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Bijlow%20Genoa%20fbref","","","","needs-review","",""
"230","batch-05","fc-7255","Britschgi","D","Dd/Ds/E","PAR","Parma","7255","4","8","FC DueFratelli2005","Britschgi Parma fbref","https://fbref.com/en/search/search.fcgi?search=Britschgi%20Parma%20fbref","","","","needs-review","",""
"231","batch-05","fc-6662","Corvi","P","Por","PAR","Parma","6662","9","5","As Paperopoli","Corvi Parma fbref","https://fbref.com/en/search/search.fcgi?search=Corvi%20Parma%20fbref","","","","needs-review","",""
"232","batch-05","fc-5739","De Winter","D","Dd/Dc","MIL","Milan","5739","6","10","As Paperopoli","De Winter Milan fbref","https://fbref.com/en/search/search.fcgi?search=De%20Winter%20Milan%20fbref","","","","needs-review","",""
"233","batch-05","fc-6629","Dele-Bashiru","C","C/T","LAZ","Lazio","6629","6","14","River Plaid","Dele-Bashiru Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Dele-Bashiru%20Lazio%20fbref","","","","needs-review","",""
"234","batch-05","fc-5851","Doig","D","Ds/E","SAS","Sassuolo","5851","4","10","Afc Severgas Baronissi","Doig Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Doig%20Sassuolo%20fbref","","","","needs-review","",""
"235","batch-05","fc-6365","Ferguson E.","A","Pc","ROM","Roma","6365","10","12","Afc Severgas Baronissi","Ferguson E Roma fbref","https://fbref.com/en/search/search.fcgi?search=Ferguson%20E%20Roma%20fbref","","","","needs-review","",""
"236","batch-05","fc-7131","Floriani Mussolini","D","Dd/E","CRE","Cremonese","7131","5","12","River Plaid","Floriani Mussolini Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Floriani%20Mussolini%20Cremonese%20fbref","","","","needs-review","",""
"237","batch-05","fc-7318","Gandelman","C","C/T","LEC","Lecce","7318","9","13","Afc Severgas Baronissi","Gandelman Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Gandelman%20Lecce%20fbref","","","","needs-review","",""
