reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"28","batch-01","fc-4312","Maignan","P","Por","MIL","Milan","4312","16","88","real mappine","Maignan Milan fbref","https://fbref.com/en/search/search.fcgi?search=Maignan%20Milan%20fbref","","","","needs-review","",""
"29","batch-01","fc-2606","Modric","C","C","MIL","Milan","2606","18","90","River Plaid","Modric Milan fbref","https://fbref.com/en/search/search.fcgi?search=Modric%20Milan%20fbref","","","","needs-review","",""
"30","batch-01","fc-7126","Baturina","C","T","COM","Como","7126","24","95","Olympic Salerno  FC","Baturina Como fbref","https://fbref.com/en/search/search.fcgi?search=Baturina%20Como%20fbref","","","","needs-review","",""
"31","batch-01","fc-7023","Pellegrino M.","A","Pc","PAR","Parma","7023","18","67","Olympic Salerno  FC","Pellegrino M Parma fbref","https://fbref.com/en/search/search.fcgi?search=Pellegrino%20M%20Parma%20fbref","","","","needs-review","",""
"32","batch-01","fc-531","Berardi","A","A","SAS","Sassuolo","531","25","90","Prestige Worldwide","Berardi Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Berardi%20Sassuolo%20fbref","","","","needs-review","",""
"33","batch-01","fc-4510","Leao","A","A","MIL","Milan","4510","20","80","Beetlejuice","Leao Milan fbref","https://fbref.com/en/search/search.fcgi?search=Leao%20Milan%20fbref","","","","needs-review","",""
"34","batch-01","fc-6832","Palestra","D","E","CAG","Cagliari","6832","16","75","Olympic Salerno  FC","Palestra Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Palestra%20Cagliari%20fbref","","","","needs-review","",""
"35","batch-01","fc-505","Bonazzoli","A","A","CRE","Cremonese","505","22","40","Prestige Worldwide","Bonazzoli Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Bonazzoli%20Cremonese%20fbref","","","","needs-review","",""
"36","batch-01","fc-6717","Konè I.","C","M/C","SAS","Sassuolo","6717","17","67","Beetlejuice","Konè I Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Kon%C3%A8%20I%20Sassuolo%20fbref","","","","needs-review","",""
"37","batch-01","fc-2137","Scamacca","A","Pc","ATA","Atalanta","2137","23","95","FC DueFratelli2005","Scamacca Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Scamacca%20Atalanta%20fbref","","","","needs-review","",""
"38","batch-01","fc-152","Zielinski","C","C/T","INT","Inter","152","20","60","Real Pisistrius","Zielinski Inter fbref","https://fbref.com/en/search/search.fcgi?search=Zielinski%20Inter%20fbref","","","","needs-review","",""
"39","batch-01","fc-1870","Barella","C","C","INT","Inter","1870","18","58","Prestige Worldwide","Barella Inter fbref","https://fbref.com/en/search/search.fcgi?search=Barella%20Inter%20fbref","","","","needs-review","",""
"40","batch-01","fc-2788","Bremer","D","Dc","JUV","Juventus","2788","20","74","Olympic Salerno  FC","Bremer Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Bremer%20Juventus%20fbref","","","","needs-review","",""
"41","batch-01","fc-4976","Kalulu","D","Dd/Dc","JUV","Juventus","4976","14","68","real mappine","Kalulu Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Kalulu%20Juventus%20fbref","","","","needs-review","",""
