playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeam,fantasyRoster,fbrefId,fbrefName,fbrefUrl,mappingStatus,statsStatus,competition,matches,starts,minutes,goals,assists,xg,npxg,xa,xag,yellowCards,redCards,sourceUrl,sourceUpdatedAt,statsNotes
fc-6666,6666,Bernabè,C,C,PAR,Olympic Salerno  FC,548672b4,Adrian Bernabe,https://fbref.com/en/players/548672b4/Adrian-Bernabe,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5651,5651,Harrison,C,W,FIO,Ac Milan,aa849a12,Jack Harrison,https://fbref.com/en/players/aa849a12/Jack-Harrison,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6869,6869,Ramon,D,Dc,COM,River Plaid,4772b1d1,Jacobo Ramón,https://fbref.com/en/players/4772b1d1/Jacobo-Ramon,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6001,6001,Banda,A,W/A,LEC,Beetlejuice,8a6de8c7,Lameck Banda,https://fbref.com/en/players/8a6de8c7/Lameck-Banda,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6294,6294,Ndour,C,M/C,FIO,Prestige Worldwide,3b88609d,Cher Ndour,https://fbref.com/en/players/3b88609d/Cher-Ndour,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-22,22,De Roon,C,M/C,ATA,Real Pisistrius,2a1beb34,Marten de Roon,https://fbref.com/en/players/2a1beb34/Marten-de-Roon,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6664,6664,Delprato,D,B/Dd/E,PAR,FC DueFratelli2005,4c6f9258,Enrico Del Prato,https://fbref.com/en/players/4c6f9258/Enrico-Del-Prato,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5862,5862,Valeri,D,Ds/E,PAR,Real Pisistrius,ec52b661,Emanuele Valeri,https://fbref.com/en/players/ec52b661/Emanuele-Valeri,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5526,5526,Scalvini,D,Dc,ATA,Olympic Salerno  FC,1e9aa637,Giorgio Scalvini,https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7070,7070,Sucic P.,C,C,INT,FC DueFratelli2005,23fb46ea,Petar Sučić,https://fbref.com/en/players/23fb46ea/Petar-Sucic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5504,5504,Coulibaly L.,C,M/C,LEC,Real Pisistrius,85a44ecc,Lassana Coulibaly,https://fbref.com/en/players/85a44ecc/Lassana-Coulibaly,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4751,4751,Tomori,D,Dc,MIL,Prestige Worldwide,7edfbb8a,Fikayo Tomori,https://fbref.com/en/players/7edfbb8a/Fikayo-Tomori,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
