"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"358","batch-08","fc-1871","Deiola","C","M/C","CAG","Cagliari","1871","6","11","","Deiola Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Deiola%20Cagliari%20fbref","7f267d66","Alessandro Deiola","https://fbref.com/en/players/7f267d66/Alessandro-Deiola","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Deiola: associato ad Alessandro Deiola, Cagliari. Batch-08 verificato manualmente su FBref/search result."
"364","batch-08","fc-7274","Zè Pedro","D","Dc","CAG","Cagliari","7274","5","11","","Zè Pedro Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Z%C3%A8%20Pedro%20Cagliari%20fbref","2063e21d","Zé Pedro Figueiredo","https://fbref.com/en/players/2063e21d/Ze-Pedro-Figueiredo","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Zè Pedro: associato a Zé Pedro Figueiredo, Cagliari; altri Zé Pedro scartati. Batch-08 verificato manualmente su FBref/search result."
"394","batch-08","fc-313","Morata","A","Pc","COM","Como","313","2","10","","Morata Como fbref","https://fbref.com/en/search/search.fcgi?search=Morata%20Como%20fbref","129af0db","Álvaro Morata","https://fbref.com/en/players/129af0db/Alvaro-Morata","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Morata: associato ad Álvaro Morata, Como. Batch-08 verificato manualmente su FBref/search result."
"370","batch-08","fc-7145","Piccinini G.","C","E/M","PIS","Pisa","7145","4","10","","Piccinini G Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Piccinini%20G%20Pisa%20fbref","92e4465e","Gabriele Piccinini","https://fbref.com/en/players/92e4465e/Gabriele-Piccinini","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Piccinini G.: associato a Gabriele Piccinini, Pisa. Batch-08 verificato manualmente su FBref/search result."
"363","batch-08","fc-6575","Zaragoza","C","W/A","ROM","Roma","6575","4","10","FC DueFratelli2005","Zaragoza Roma fbref","https://fbref.com/en/search/search.fcgi?search=Zaragoza%20Roma%20fbref","a96103b2","Bryan Zaragoza","https://fbref.com/en/players/a96103b2/Bryan-Zaragoza","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Zaragoza: associato a Bryan Zaragoza, Roma. Batch-08 verificato manualmente su FBref/search result."
"371","batch-08","fc-6458","Serdar","C","C","VER","Verona","6458","6","10","","Serdar Verona fbref","https://fbref.com/en/search/search.fcgi?search=Serdar%20Verona%20fbref","b3325a30","Suat Serdar","https://fbref.com/en/players/b3325a30/Suat-Serdar","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Serdar: associato a Suat Serdar, Verona. Batch-08 verificato manualmente su FBref/search result."
"381","batch-08","fc-5688","Harroui","C","W/T","VER","Verona","5688","4","10","","Harroui Verona fbref","https://fbref.com/en/search/search.fcgi?search=Harroui%20Verona%20fbref","65fd099c","Abdou Harroui","https://fbref.com/en/players/65fd099c/Abdou-Harroui","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Harroui: associato ad Abdou Harroui, Verona. Batch-08 verificato manualmente su FBref/search result."
"356","batch-08","fc-5286","Akpa Akpro","C","M/C","VER","Verona","5286","5","10","","Akpa Akpro Verona fbref","https://fbref.com/en/search/search.fcgi?search=Akpa%20Akpro%20Verona%20fbref","fdf4b948","Jean-Daniel Akpa-Akpro","https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Akpa Akpro: associato a Jean-Daniel Akpa-Akpro, Verona. Batch-08 verificato manualmente su FBref/search result."
"387","batch-08","fc-7268","Rodriguez Ju.","D","Ds/Dc","CAG","Cagliari","7268","4","10","","Rodriguez Ju Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Rodriguez%20Ju%20Cagliari%20fbref","8f72c9d2","Juan Rodríguez","https://fbref.com/en/players/8f72c9d2/Juan-Rodriguez","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Rodriguez Ju.: associato a Juan Rodríguez, Cagliari; iniziale Ju. usata per distinguerlo da altri Rodriguez. Batch-08 verificato manualmente su FBref/search result."
"384","batch-08","fc-7253","Bella-Kotchap","D","Dc","VER","Verona","7253","3","10","","Bella-Kotchap Verona fbref","https://fbref.com/en/search/search.fcgi?search=Bella-Kotchap%20Verona%20fbref","a39d11bc","Armel Bella Kotchap","https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Bella-Kotchap: associato ad Armel Bella Kotchap, Verona. Batch-08 verificato manualmente su FBref/search result."
"379","batch-08","fc-6632","Gaspar K.","D","Dc","LEC","Lecce","6632","2","10","","Gaspar K Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Gaspar%20K%20Lecce%20fbref","34e4dc3b","Kialonda","https://fbref.com/en/players/34e4dc3b/Kialonda","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Gaspar K.: profilo FBref indicizzato come Kialonda, nome completo Kialonda Gaspar, Lecce. Batch-08 verificato manualmente su FBref/search result."
"368","batch-08","fc-256","Juan Jesus","D","Ds/Dc","NAP","Napoli","256","4","10","","Juan Jesus Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Juan%20Jesus%20Napoli%20fbref","79083382","Juan Jesus","https://fbref.com/en/players/79083382/Juan-Jesus","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Juan Jesus: associato a Juan Jesus, Napoli. Batch-08 verificato manualmente su FBref/search result."
"351","batch-08","fc-2728","Pellegrini Lu.","D","Ds/E","LAZ","Lazio","2728","5","9","","Pellegrini Lu Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Pellegrini%20Lu%20Lazio%20fbref","3b61c9ec","Luca Pellegrini","https://fbref.com/en/players/3b61c9ec/Luca-Pellegrini","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Pellegrini Lu.: associato a Luca Pellegrini, Lazio; scartati omonimi non Lazio. Batch-08 verificato manualmente su FBref/search result."
"385","batch-08","fc-2263","Lazzari","D","Dd/E","LAZ","Lazio","2263","3","9","","Lazzari Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Lazzari%20Lazio%20fbref","02caf6e0","Manuel Lazzari","https://fbref.com/en/players/02caf6e0/Manuel-Lazzari","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Lazzari: associato a Manuel Lazzari, Lazio. Batch-08 verificato manualmente su FBref/search result."
"395","batch-08","fc-6630","Mosquera","A","Pc","VER","Verona","6630","4","8","","Mosquera Verona fbref","https://fbref.com/en/search/search.fcgi?search=Mosquera%20Verona%20fbref","091b9eb8","Daniel Mosquera","https://fbref.com/en/players/091b9eb8/Daniel-Mosquera","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Mosquera: associato a Daniel Mosquera, Verona. Batch-08 verificato manualmente su FBref/search result."
"386","batch-08","fc-7149","Marin M.","C","M/C","PIS","Pisa","7149","2","8","","Marin M Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Marin%20M%20Pisa%20fbref","a5106847","Marius Marin","https://fbref.com/en/players/a5106847/Marius-Marin","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Marin M.: associato a Marius Marin, Pisa. Batch-08 verificato manualmente su FBref/search result."
"360","batch-08","fc-6005","Ilkhan","C","C/T","TOR","Torino","6005","7","8","","Ilkhan Torino fbref","https://fbref.com/en/search/search.fcgi?search=Ilkhan%20Torino%20fbref","a47c6309","Emirhan İlkhan","https://fbref.com/en/players/a47c6309/Emirhan-Ilkhan","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Ilkhan: associato a Emirhan İlkhan, Torino; accento normalizzato nello slug. Batch-08 verificato manualmente su FBref/search result."
"359","batch-08","fc-5290","Estevez","C","M/C","PAR","Parma","5290","5","8","","Estevez Parma fbref","https://fbref.com/en/search/search.fcgi?search=Estevez%20Parma%20fbref","cec60a2f","Nahuel Estévez","https://fbref.com/en/players/cec60a2f/Nahuel-Estevez","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Estevez: associato a Nahuel Estévez, Parma; accento normalizzato nello slug. Batch-08 verificato manualmente su FBref/search result."
"373","batch-08","fc-4711","Kostic","C","E/W","JUV","Juventus","4711","9","8","","Kostic Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Kostic%20Juventus%20fbref","b1cd37e6","Filip Kostić","https://fbref.com/en/players/b1cd37e6/Filip-Kostic","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Kostic: associato a Filip Kostić, Juventus; accento normalizzato nello slug. Batch-08 verificato manualmente su FBref/search result."
"382","batch-08","fc-6957","Valentini N.","D","Dc","VER","Verona","6957","3","8","","Valentini N Verona fbref","https://fbref.com/en/search/search.fcgi?search=Valentini%20N%20Verona%20fbref","a43e4f9c","Nicolás Valentini","https://fbref.com/en/players/a43e4f9c/Nicolas-Valentini","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Valentini N.: associato a Nicolás Valentini, Verona; iniziale usata per distinguere omonimi. Batch-08 verificato manualmente su FBref/search result."
"388","batch-08","fc-6896","Van Der Brempt","D","Dd/E","COM","Como","6896","5","8","","Van Der Brempt Como fbref","https://fbref.com/en/search/search.fcgi?search=Van%20Der%20Brempt%20Como%20fbref","2bf50b37","Ignace Van Der Brempt","https://fbref.com/en/players/2bf50b37/Ignace-Van-Der-Brempt","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Van Der Brempt: associato a Ignace Van Der Brempt, Como. Batch-08 verificato manualmente su FBref/search result."
"389","batch-08","fc-6230","Dossena","D","Dc","CAG","Cagliari","6230","5","8","","Dossena Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Dossena%20Cagliari%20fbref","61efb926","Alberto Dossena","https://fbref.com/en/players/61efb926/Alberto-Dossena","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Dossena: associato ad Alberto Dossena, Cagliari/Como su FBref. Batch-08 verificato manualmente su FBref/search result."
"380","batch-08","fc-5831","Gatti","D","Dc","JUV","Juventus","5831","5","8","","Gatti Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Gatti%20Juventus%20fbref","18dd3219","Federico Gatti","https://fbref.com/en/players/18dd3219/Federico-Gatti","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Gatti: associato a Federico Gatti, Juventus. Batch-08 verificato manualmente su FBref/search result."
"375","batch-08","fc-697","Cuadrado","D","E","PIS","Pisa","697","5","8","","Cuadrado Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Cuadrado%20Pisa%20fbref","0ab1f153","Juan Cuadrado","https://fbref.com/en/players/0ab1f153/Juan-Cuadrado","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Cuadrado: associato a Juan Cuadrado, Pisa. Batch-08 verificato manualmente su FBref/search result."
"393","batch-08","fc-7147","Hojholt","C","M/C","PIS","Pisa","7147","3","7","","Hojholt Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Hojholt%20Pisa%20fbref","b52b9079","Malthe Hojholt","https://fbref.com/en/players/b52b9079/Malthe-Hojholt","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Hojholt: associato a Malthe Hojholt, Pisa. Batch-08 verificato manualmente su FBref/search result."
"362","batch-08","fc-6917","Masini","C","M/C","GEN","Genoa","6917","5","7","","Masini Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Masini%20Genoa%20fbref","151354b8","Patrizio Masini","https://fbref.com/en/players/151354b8/Patrizio-Masini","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Masini: associato a Patrizio Masini, Genoa. Batch-08 verificato manualmente su FBref/search result."
"378","batch-08","fc-6640","Felici","C","W","CAG","Cagliari","6640","7","7","","Felici Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Felici%20Cagliari%20fbref","38aa2612","Mattia Felici","https://fbref.com/en/players/38aa2612/Mattia-Felici","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Felici: associato a Mattia Felici, Cagliari. Batch-08 verificato manualmente su FBref/search result."
"372","batch-08","fc-5872","Helgason","C","C/T","LEC","Lecce","5872","2","7","real mappine","Helgason Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Helgason%20Lecce%20fbref","dc765618","Þórir Jóhann Helgason","https://fbref.com/en/players/dc765618/Thorir-Johann-Helgason","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Helgason: associato a Þórir Jóhann Helgason, Lecce; caratteri islandesi normalizzati nello slug. Batch-08 verificato manualmente su FBref/search result."
"377","batch-08","fc-5994","Ebosse","D","Ds/Dc","TOR","Torino","5994","5","7","","Ebosse Torino fbref","https://fbref.com/en/search/search.fcgi?search=Ebosse%20Torino%20fbref","9ba7b4fa","Enzo Ebosse","https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Ebosse: associato a Enzo Ebosse, Torino. Batch-08 verificato manualmente su FBref/search result."
"357","batch-08","fc-2745","Calabresi","D","B/Dd/E","PIS","Pisa","2745","3","6","","Calabresi Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Calabresi%20Pisa%20fbref","34bb6fbd","Arturo Calabresi","https://fbref.com/en/players/34bb6fbd/Arturo-Calabresi","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Calabresi: associato ad Arturo Calabresi, Pisa. Batch-08 verificato manualmente su FBref/search result."
"391","batch-08","fc-7213","Frigan","A","Pc","PAR","Parma","7213","1","5","FC DueFratelli2005","Frigan Parma fbref","https://fbref.com/en/search/search.fcgi?search=Frigan%20Parma%20fbref","6fa81fa5","Matija Frigan","https://fbref.com/en/players/6fa81fa5/Matija-Frigan","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Frigan: associato a Matija Frigan; listone Parma, profilo FBref storico KVC Westerlo/Rijeka. Batch-08 verificato manualmente su FBref/search result."
"369","batch-08","fc-5515","Okereke","A","A","CRE","Cremonese","5515","10","5","","Okereke Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Okereke%20Cremonese%20fbref","d125f22f","David Okereke","https://fbref.com/en/players/d125f22f/David-Okereke","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Okereke: associato a David Okereke, Cremonese. Batch-08 verificato manualmente su FBref/search result."
"361","batch-08","fc-5457","Maleh","C","M/C","CRE","Cremonese","5457","5","5","","Maleh Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Maleh%20Cremonese%20fbref","4c8845f7","Youssef Maleh","https://fbref.com/en/players/4c8845f7/Youssef-Maleh","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Maleh: associato a Youssef Maleh, Cremonese. Batch-08 verificato manualmente su FBref/search result."
"398","batch-08","fc-6827","Njie","A","A","TOR","Torino","6827","6","4","","Njie Torino fbref","https://fbref.com/en/search/search.fcgi?search=Njie%20Torino%20fbref","15918c9c","Alieu Njie","https://fbref.com/en/players/15918c9c/Alieu-Njie","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Njie: associato ad Alieu Njie, Torino. Batch-08 verificato manualmente su FBref/search result."
"374","batch-08","fc-6665","Coulibaly W.","D","Dd/Ds/E","SAS","Sassuolo","6665","4","4","","Coulibaly W Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Coulibaly%20W%20Sassuolo%20fbref","beb6e3a6","Woyo Coulibaly","https://fbref.com/en/players/beb6e3a6/Woyo-Coulibaly","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Coulibaly W.: associato a Woyo Coulibaly, Sassuolo; iniziale W. usata per distinguerlo da altri Coulibaly. Batch-08 verificato manualmente su FBref/search result."
"392","batch-08","fc-7272","Gueye","A","Pc","UDI","Udinese","7272","5","1","","Gueye Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Gueye%20Udinese%20fbref","bfecfbde","Idrissa Guèye","https://fbref.com/en/players/bfecfbde/Idrissa-Gueye","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Gueye: associato a Idrissa Guèye, Udinese; distinto da Idrissa Gana Gueye. Batch-08 verificato manualmente su FBref/search result."
"397","batch-08","fc-7322","Ngom","C","M/C","LEC","Lecce","7322","5","1","","Ngom Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Ngom%20Lecce%20fbref","2fd5aca2","Oumar Ngom","https://fbref.com/en/players/2fd5aca2/Oumar-Ngom","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Ngom: associato a Oumar Ngom, Lecce. Batch-08 verificato manualmente su FBref/search result."
"383","batch-08","fc-6677","Adzic","C","C/T","JUV","Juventus","6677","1","1","Afc Severgas Baronissi","Adzic Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Adzic%20Juventus%20fbref","8b0f9fb8","Vasilije Adžić","https://fbref.com/en/players/8b0f9fb8/Vasilije-Adzic","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Adzic: associato a Vasilije Adžić, Juventus; accento normalizzato nello slug. Batch-08 verificato manualmente su FBref/search result."
"367","batch-08","fc-7179","Israel","P","Por","TOR","Torino","7179","1","1","Real Pisistrius","Israel Torino fbref","https://fbref.com/en/search/search.fcgi?search=Israel%20Torino%20fbref","1f994616","Franco Israel","https://fbref.com/en/players/1f994616/Franco-Israel","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Israel: associato a Franco Israel, Torino. Batch-08 verificato manualmente su FBref/search result."
"400","batch-08","fc-2815","Terracciano","P","Por","MIL","Milan","2815","1","1","real mappine","Terracciano Milan fbref","https://fbref.com/en/search/search.fcgi?search=Terracciano%20Milan%20fbref","e1b0a70d","Pietro Terracciano","https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Terracciano: associato a Pietro Terracciano, Milan. Batch-08 verificato manualmente su FBref/search result."
