"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"390","batch-08","fc-7342","Elphege","A","Pc","PAR","Parma","7342","6","18","","Elphege Parma fbref","https://fbref.com/en/search/search.fcgi?search=Elphege%20Parma%20fbref","a3f86b82","Nesta Elphege","https://fbref.com/en/players/a3f86b82/Nesta-Elphege","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Elphege: associato a Nesta Elphege, Parma. Batch-08 verificato manualmente su FBref/search result."
"366","batch-08","fc-6550","Garcia U.","D","B/Ds/E","SAS","Sassuolo","6550","8","17","","Garcia U Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Garcia%20U%20Sassuolo%20fbref","c952f633","Ulisses Garcia","https://fbref.com/en/players/c952f633/Ulisses-Garcia","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Garcia U.: associato a Ulisses Garcia, Sassuolo; iniziale usata per distinguere altri Garcia. Batch-08 verificato manualmente su FBref/search result."
"396","batch-08","fc-7337","Motta","P","Por","LAZ","Lazio","7337","5","15","","Motta Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Motta%20Lazio%20fbref","35dfd6b5","Edoardo Motta","https://fbref.com/en/players/35dfd6b5/Edoardo-Motta","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Motta: associato a Edoardo Motta, Lazio; scartato Riccardo/Federico Motta non coerenti col club. Batch-08 verificato manualmente su FBref/search result."
"352","batch-08","fc-7240","Siebert","D","Dc","LEC","Lecce","7240","6","14","","Siebert Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Siebert%20Lecce%20fbref","5967328c","Jamil Siebert","https://fbref.com/en/players/5967328c/Jamil-Siebert","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Siebert: associato a Jamil Siebert, Lecce. Batch-08 verificato manualmente su FBref/search result."
"376","batch-08","fc-6274","Diouf","C","C","INT","Inter","6274","7","13","","Diouf Inter fbref","https://fbref.com/en/search/search.fcgi?search=Diouf%20Inter%20fbref","9b5237b1","Andy Diouf","https://fbref.com/en/players/9b5237b1/Andy-Diouf","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Diouf: associato ad Andy Diouf, Inter. Batch-08 verificato manualmente su FBref/search result."
"354","batch-08","fc-6980","Venturino","C","W","ROM","Roma","6980","2","12","FC DueFratelli2005","Venturino Roma fbref","https://fbref.com/en/search/search.fcgi?search=Venturino%20Roma%20fbref","a5049464","Lorenzo Venturino","https://fbref.com/en/players/a5049464/Lorenzo-Venturino","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Venturino: associato a Lorenzo Venturino, Roma/Genoa su FBref. Batch-08 verificato manualmente su FBref/search result."
"399","batch-08","fc-4284","Sergi Roberto","C","M/C","COM","Como","4284","3","12","","Sergi Roberto Como fbref","https://fbref.com/en/search/search.fcgi?search=Sergi%20Roberto%20Como%20fbref","335fa267","Sergi Roberto","https://fbref.com/en/players/335fa267/Sergi-Roberto","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Sergi Roberto: associato al profilo FBref Como 1907. Batch-08 verificato manualmente su FBref/search result."
"365","batch-08","fc-7352","Edmundsson","D","Dc","VER","Verona","7352","6","12","","Edmundsson Verona fbref","https://fbref.com/en/search/search.fcgi?search=Edmundsson%20Verona%20fbref","7131f38f","Andrias Edmundsson","https://fbref.com/en/players/7131f38f/Andrias-Edmundsson","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Edmundsson: associato ad Andrias Edmundsson, Verona. Batch-08 verificato manualmente su FBref/search result."
"353","batch-08","fc-7235","Troilo","D","Dc","PAR","Parma","7235","5","12","","Troilo Parma fbref","https://fbref.com/en/search/search.fcgi?search=Troilo%20Parma%20fbref","fa2c1419","Mariano Troilo","https://fbref.com/en/players/fa2c1419/Mariano-Troilo","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Troilo: associato a Mariano Troilo, Parma. Batch-08 verificato manualmente su FBref/search result."
"355","batch-08","fc-5527","Zanoli","D","Dd/E","UDI","Udinese","5527","6","12","","Zanoli Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Zanoli%20Udinese%20fbref","3b12b11f","Alessandro Zanoli","https://fbref.com/en/players/3b12b11f/Alessandro-Zanoli","confirmed","0.98","FBref","2026-06-05","V380","Nome listone Zanoli: associato ad Alessandro Zanoli; listone Udinese, profilo storico Serie A. Batch-08 verificato manualmente su FBref/search result."
