"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"169","batch-04","fc-7351","Santos A.","C","W/A","NAP","Napoli","7351","12","54","FC DueFratelli2005","Santos A Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Santos%20A%20Napoli%20fbref","c67e9194","Alisson Santos","https://fbref.com/en/players/c67e9194/Alisson-Santos","confirmed","0.98","FBref","2026-06-05","V376","Nome listone Santos A.: associato ad Alisson Santos, Napoli/Sporting; Fantacalcio id 7351 coerente. Batch-04 verificato manualmente su FBref."
"170","batch-04","fc-4486","Strefezza","C","W/A","PAR","Parma","4486","13","50","Afc Severgas Baronissi","Strefezza Parma fbref","https://fbref.com/en/search/search.fcgi?search=Strefezza%20Parma%20fbref","ac4a4508","Gabriel Strefezza","https://fbref.com/en/players/ac4a4508/Gabriel-Strefezza","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato a Gabriel Strefezza, Parma/Como; profilo storico FBref unico. Batch-04 verificato manualmente su FBref."
"151","batch-04","fc-4371","Raspadori","A","A","ATA","Atalanta","4371","15","37","Real Pisistrius","Raspadori Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Raspadori%20Atalanta%20fbref","6e058f06","Giacomo Raspadori","https://fbref.com/en/players/6e058f06/Giacomo-Raspadori","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato a Giacomo Raspadori; profilo FBref storico coerente. Batch-04 verificato manualmente su FBref."
"192","batch-04","fc-2832","Boga","A","W/A","JUV","Juventus","2832","11","37","Afc Severgas Baronissi","Boga Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Boga%20Juventus%20fbref","fe012aca","Jeremie Boga","https://fbref.com/en/players/fe012aca/Jeremie-Boga","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato a Jeremie Boga; club/competizioni FBref coerenti. Batch-04 verificato manualmente su FBref."
"187","batch-04","fc-6967","Diao","A","W/A","COM","Como","6967","12","30","Olympic Salerno  FC","Diao Como fbref","https://fbref.com/en/search/search.fcgi?search=Diao%20Como%20fbref","8ae7d0ec","Assane Diao","https://fbref.com/en/players/8ae7d0ec/Assane-Diao","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato ad Assane Diao, Como; omonimi esclusi. Batch-04 verificato manualmente su FBref."
"157","batch-04","fc-5674","Basic","C","C","LAZ","Lazio","5674","11","25","Beetlejuice","Basic Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Basic%20Lazio%20fbref","80556f08","Toma Bašić","https://fbref.com/en/players/80556f08/Toma-Basic","confirmed","0.98","FBref","2026-06-05","V376","Nome listone Basic: associato a Toma Bašić, Lazio; accento normalizzato nello slug. Batch-04 verificato manualmente su FBref."
"153","batch-04","fc-4751","Tomori","D","Dc","MIL","Milan","4751","8","21","Prestige Worldwide","Tomori Milan fbref","https://fbref.com/en/search/search.fcgi?search=Tomori%20Milan%20fbref","7edfbb8a","Fikayo Tomori","https://fbref.com/en/players/7edfbb8a/Fikayo-Tomori","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato a Fikayo Tomori, Milan. Batch-04 verificato manualmente su FBref."
"154","batch-04","fc-4220","Zambo Anguissa","C","M/C","NAP","Napoli","4220","15","20","Beetlejuice","Zambo Anguissa Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Zambo%20Anguissa%20Napoli%20fbref","6bb2c084","Andre-Frank Zambo Anguissa","https://fbref.com/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa","confirmed","0.98","FBref","2026-06-05","V376","Nome listone Zambo Anguissa: associato ad Andre-Frank Zambo Anguissa, Napoli. Batch-04 verificato manualmente su FBref."
"163","batch-04","fc-2160","Gosens","D","E","FIO","Fiorentina","2160","11","19","Beetlejuice","Gosens Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Gosens%20Fiorentina%20fbref","2d970560","Robin Gosens","https://fbref.com/en/players/2d970560/Robin-Gosens","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato a Robin Gosens, Fiorentina. Batch-04 verificato manualmente su FBref."
"165","batch-04","fc-7155","Muharemovic","D","Dc","SAS","Sassuolo","7155","8","18","real mappine","Muharemovic Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Muharemovic%20Sassuolo%20fbref","426dda23","Tarik Muharemovic","https://fbref.com/en/players/426dda23/Tarik-Muharemovic","confirmed","0.98","FBref","2026-06-05","V376","Nome listone cognome: associato a Tarik Muharemovic, Sassuolo. Batch-04 verificato manualmente su FBref."
