playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-5885","Dodò","D","E","FIO","5885","","","unmapped",""
"fc-5876","Di Gregorio","P","Por","JUV","5876","","","unmapped",""
"fc-5544","David","A","Pc","JUV","5544","","","unmapped",""
"fc-2816","Di Lorenzo","D","Dd/E","NAP","2816","","","unmapped",""
"fc-2521","De Gea","P","Por","FIO","2521","","","unmapped",""
"fc-7129","Rodriguez Je.","A","W/A","COM","7129","","","unmapped",""
"fc-6766","Kelly L.","D","Ds/Dc","JUV","6766","","","unmapped",""
"fc-779","Cristante","C","M/C","ROM","779","","","unmapped",""
"fc-5514","Vasquez","D","Ds/Dc","GEN","5514","","","unmapped",""
"fc-5455","Moreo","A","A","PIS","5455","","","unmapped",""
"fc-5674","Basic","C","C","LAZ","5674","","","unmapped",""
"fc-632","Zaccagni","C","W/A","LAZ","632","","","unmapped",""
"fc-6989","Tiago Gabriel","D","Dc","LEC","6989","","","unmapped",""
"fc-4807","Hermoso","D","Dc","ROM","4807","","","unmapped",""
"fc-4734","Miranda J.","D","Ds/E","BOL","4734","","","unmapped",""
"fc-6556","Noslin","A","A","LAZ","6556","","","unmapped",""
"fc-530","Pellegrini Lo.","C","C/T","ROM","530","","","unmapped",""
"fc-6646","Adams C.","A","A","TOR","6646","","","unmapped",""
"fc-6439","Cheddira","A","Pc","LEC","6439","","","unmapped",""
"fc-6666","Bernabè","C","C","PAR","6666","","","unmapped",""
"fc-5651","Harrison","C","W","FIO","5651","","","unmapped",""
"fc-6869","Ramon","D","Dc","COM","6869","","","unmapped",""
"fc-6001","Banda","A","W/A","LEC","6001","","","unmapped",""
"fc-6294","Ndour","C","M/C","FIO","6294","","","unmapped",""
"fc-22","De Roon","C","M/C","ATA","22","","","unmapped",""
"fc-6664","Delprato","D","B/Dd/E","PAR","6664","","","unmapped",""
"fc-5862","Valeri","D","Ds/E","PAR","5862","","","unmapped",""
"fc-5526","Scalvini","D","Dc","ATA","5526","","","unmapped",""
"fc-7070","Sucic P.","C","C","INT","7070","","","unmapped",""
"fc-5504","Coulibaly L.","C","M/C","LEC","5504","","","unmapped",""
"fc-4751","Tomori","D","Dc","MIL","4751","","","unmapped",""
"fc-6164","Vitinha O.","A","Pc","GEN","6164","","","unmapped",""
"fc-2489","Pedro","A","A","LAZ","2489","","","unmapped",""
"fc-5888","Casadei","C","C/T","TOR","5888","","","unmapped",""
"fc-4896","Maldini","C","T/A","LAZ","4896","","","unmapped",""
"fc-4287","Lobotka","C","M/C","NAP","4287","","","unmapped",""
"fc-4220","Zambo Anguissa","C","M/C","NAP","4220","","","unmapped",""
"fc-4360","Caprile","P","Por","CAG","4360","","","unmapped",""
"fc-572","Meret","P","Por","NAP","572","","","unmapped",""
"fc-5422","Zalewski","C","E/W","ATA","5422","","","unmapped",""
"fc-2160","Gosens","D","E","FIO","2160","","","unmapped",""
"fc-7342","Elphege","A","Pc","PAR","7342","","","unmapped",""
"fc-6380","Solomon","A","W/A","FIO","6380","","","unmapped",""
"fc-6898","Keita M.","C","M/C","PAR","6898","","","unmapped",""
"fc-5036","Caqueret","C","C/T","COM","5036","","","unmapped",""
"fc-4686","Fofana Y.","C","M/C","MIL","4686","","","unmapped",""
"fc-7155","Muharemovic","D","Dc","SAS","7155","","","unmapped",""
"fc-6893","Kempf","D","Dc","COM","6893","","","unmapped",""
"fc-5620","Tavares N.","D","Ds/E","LAZ","5620","","","unmapped",""
"fc-554","Zappacosta","D","E","ATA","554","","","unmapped",""
"fc-6190","Pisilli","C","C","ROM","6190","","","unmapped",""
"fc-5735","Volpato","C","W/T","SAS","5735","","","unmapped",""
"fc-333","Cataldi","C","M/C","LAZ","333","","","unmapped",""
"fc-6986","Rensch","D","B/Dd/E","ROM","6986","","","unmapped",""
"fc-6867","Valle","D","Ds/E","COM","6867","","","unmapped",""
"fc-6550","Garcia U.","D","B/Ds/E","SAS","6550","","","unmapped",""
"fc-5520","Cambiaso","D","E","JUV","5520","","","unmapped",""
"fc-7329","Obrador","D","Ds/E","TOR","7329","","","unmapped",""
"fc-5833","Gila","D","Dc","LAZ","5833","","","unmapped",""
"fc-460","Romagnoli","D","Dc","LAZ","460","","","unmapped",""
"fc-7374","Mendy P.","A","Pc","CAG","7374","","","unmapped",""
"fc-6669","Bonny","A","Pc","INT","6669","","","unmapped",""
"fc-6552","Orban G.","A","Pc","VER","6552","","","unmapped",""
"fc-6243","Borrelli","A","Pc","CAG","6243","","","unmapped",""
"fc-5336","Nzola","A","Pc","SAS","5336","","","unmapped",""
"fc-4359","Piccoli","A","Pc","FIO","4359","","","unmapped",""
"fc-608","Zapata D.","A","Pc","TOR","608","","","unmapped",""
"fc-7133","Vandeputte","C","W/T","CRE","7133","","","unmapped",""
"fc-6831","Neres","C","W/A","NAP","6831","","","unmapped",""
"fc-6680","Karlstrom","C","M/C","UDI","6680","","","unmapped",""
"fc-5823","Baldanzi","C","T/A","GEN","5823","","","unmapped",""
"fc-5791","Frendrup","C","M/C","GEN","5791","","","unmapped",""
"fc-4947","Brescianini","C","C/T","FIO","4947","","","unmapped",""
"fc-4364","Gaetano","C","T","CAG","4364","","","unmapped",""
"fc-4349","Nicolussi Caviglia","C","M/C","PAR","4349","","","unmapped",""
"fc-6496","Bartesaghi","D","Ds/E","MIL","6496","","","unmapped",""
"fc-5877","Carlos Augusto","D","B/Ds/E","INT","5877","","","unmapped",""
"fc-5555","Kamara H.","D","Ds/E","UDI","5555","","","unmapped",""
"fc-4502","Gallo","D","Ds/E","LEC","4502","","","unmapped",""
"fc-7337","Motta","P","Por","LAZ","7337","","","unmapped",""
"fc-2814","Provedel","P","Por","LAZ","2814","","","unmapped",""
"fc-6629","Dele-Bashiru","C","C/T","LAZ","6629","","","unmapped",""
"fc-6252","Folorunsho","C","C/T","CAG","6252","","","unmapped",""
"fc-2765","Odgaard","C","T/A","BOL","2765","","","unmapped",""
"fc-2529","Mkhitaryan","C","C/T","INT","2529","","","unmapped",""
"fc-2077","Pasalic","C","C/T","ATA","2077","","","unmapped",""
"fc-788","Freuler","C","M/C","BOL","788","","","unmapped",""
"fc-7240","Siebert","D","Dc","LEC","7240","","","unmapped",""
"fc-6814","Norton-Cuffy","D","Dd/E","GEN","6814","","","unmapped",""
"fc-6485","Kristensen T.","D","Dd/Dc","UDI","6485","","","unmapped",""
"fc-5840","Olivera","D","Ds/E","NAP","5840","","","unmapped",""
"fc-5010","Ismajli","D","Dc","TOR","5010","","","unmapped",""
"fc-4657","Celik","D","B/Dd/E","ROM","4657","","","unmapped",""
"fc-4401","Gabbia","D","Dc","MIL","4401","","","unmapped",""
"fc-6462","Okoye","P","Por","UDI","6462","","","unmapped",""
"fc-133","Skorupski","P","Por","BOL","133","","","unmapped",""
"fc-7318","Gandelman","C","C/T","LEC","7318","","","unmapped",""
"fc-6549","Pierotti","C","W/A","LEC","6549","","","unmapped",""
"fc-6486","Suslov","C","W/T","VER","6486","","","unmapped",""
"fc-6394","Ramadani","C","M/C","LEC","6394","","","unmapped",""
"fc-6274","Diouf","C","C","INT","6274","","","unmapped",""
"fc-5453","Ricci S.","C","M/C","MIL","5453","","","unmapped",""
"fc-5298","Pobega","C","M/C","BOL","5298","","","unmapped",""
"fc-4870","Adopo","C","M/C","CAG","4870","","","unmapped",""
"fc-4479","Elmas","C","W/T","NAP","4479","","","unmapped",""
"fc-2528","Matic","C","M/C","SAS","2528","","","unmapped",""
